code;name;description
1000;Wohngebäude;'Wohngebäude' ist ein Gebäude, das zum Wohnen genutzt wird.
1010;Wohnhaus;'Wohnhaus' ist ein Gebäude, in dem Menschen ihren Wohnsitz haben.
1020;Wohnheim;'Wohnheim' ist ein Gebäude, das nach seiner baulichen Anlage und Ausstattung zur Unterbringung von Studenten, Arbeitern u. a. bestimmt ist.
1021;Kinderheim;'Kinderheim' ist ein Gebäude, welches zur Unterbringung und Betreuung von Kindern, die vorübergehend oder dauerhaft getrennt von ihren leiblichen Eltern oder sonstigen Erziehungsberechtigten leben, dient.
1022;Seniorenheim;'Seniorenheim' ist ein Gebäude, welches zur Unterbringung, Betreuung und Pflege von Menschen dient.
1023;Schwesternwohnheim;'Schwesternwohnheim' ist ein Gebäude, in dem Angehörige eines Ordens oder Pflegepersonal wohnen.
1024;Studenten-, Schülerwohnheim;'Studenten-, Schülerwohnheim' ist ein Gebäude, in welchem Studenten bzw. Schüler wohnen.
1025;Schullandheim;'Schullandheim' ist ein Gebäude in ländlicher Region, in dem sich Schulklassen jeweils für einige Tage zur Erholung und zum Unterricht aufhalten.
1100;Gemischt genutztes Gebäude mit Wohnen;'Gemischt genutztes Gebäude mit Wohnen' ist ein Gebäude, in dem sowohl gewohnt wird, als auch Teile des Gebäudes zum Anbieten von Dienstleistungen, zur Durchführung von öffentlichen oder privaten Verwaltungsarbeiten, zur gewerblichen oder industriellen Tätigkeit genutzt werden.
1110;Wohngebäude mit Gemeinbedarf;'Wohngebäude mit Gemeinbedarf' ist ein Gebäude, das vorrangig dem Wohnen als auch der Allgemeinheit, z. B. zur Versammlung, dient.
1120;Wohngebäude mit Handel und Dienstleistungen;'Wohngebäude mit Handel und Dienstleistungen' ist ein Gebäude, das vorrangig dem Wohnen als auch dem Anbieten von Arbeitsleistungen, die nicht im Zusammenhang mit der Produktion von materiellen Gütern stehen, dient.
1121;Wohn- und Verwaltungsgebäude;'Wohn- und Verwaltungsgebäude' ist ein Gebäude, in dem gewohnt wird und in dem sich Räume einer öffentlichen oder privaten Verwaltung befinden.
1122;Wohn- und Bürogebäude;'Wohn- und Bürogebäude' ist ein Gebäude, in dem gewohnt wird und in dem sich Büros mehrerer Unternehmen befinden.
1123;Wohn- und Geschäftsgebäude;'Wohn- und Geschäftsgebäude' ist ein Gebäude, in dem gewohnt wird und in dem sich ein oder mehrere Geschäfte befinden, in denen Waren zum Verkauf angeboten werden.
1130;Wohngebäude mit Gewerbe und Industrie;'Wohngebäude mit Gewerbe und Industrie' ist ein Gebäude, das vorrangig dem Wohnen und dem Anbieten von gewerblichen oder industriellen Tätigkeiten dient.
1131;Wohn- und Betriebsgebäude;'Wohn- und Betriebsgebäude' ist ein Gebäude, das sowohl zum Wohnen als auch zur Produktion von Gütern dient.
